restaurant_name,review_number,overallRating,wifi,livraison,lat,lng,district,Française,Européenne,Végétariens bienvenus,Sud-américaine,Méditerranéenne,Internationale,Barbecue/Grillades,Bar à vins,Moderne,Diner,Pub,Japonaise,Sushi,Asiatique,Steakhouse,Café,Italienne,Pizza,Plats sans gluten,Restauration rapide,Halal,Péruvienne,Fusion,Indienne,Vietnamienne,Choix végétaliens,Américaine,Traiteur,Bar à bières,Bar,Cuisine de rue (street food),Thaï,Grillades,Libanaise,Moyen_Orient,Pakistanaise,Fruits de mer ,Poisson,Coréenne,Marocaine,Cajun ,Créole,Britannique,Tibétaine,Népalaise,Perse,Saine,Africaine,Russe,Brésilienne,Mexicaine,Turque,Irlandaise,Caraïbes,Cubaine,Scandinave,Norvégienne,Allemande,Arménienne,Europe de l'Est,Grecque,Portugaise,Soupes,Éthiopienne,Cambodgienne,Argentine,Géorgienne,Colombienne,Belge,Roumaine,Tunisienne,Suisse,Albanaise,Canadienne,Amérique centrale,Arabe,Vénézuélienne,Chilienne
Au 14 Fevrier Vieux Lyon,449.0,4.5,0.0,0.0,45.759132385253906,4.823150157928467,69005  Lyon  ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Mere Brazier,835.0,4.5,0.0,0.0,45.76668930053711,4.837160110473633,69001  Lyon  ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gourmix,574.0,4.5,1.0,1.0,45.76605987548828,4.8321309089660645,69001  Lyon  ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Gourmet de Sèze,498.0,4.5,1.0,0.0,45.76849365234375,4.85646390914917,69006  Lyon  ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Les Caprices de Sophie,123.0,4.5,0.0,0.0,45.758689880371094,4.816595077514648,69005  Lyon  ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italia e Sapore,409.0,4.5,0.0,0.0,45.76848602294922,4.8462090492248535,69006  Lyon  ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L'Oenothèque de Lyon,273.0,4.5,1.0,0.0,45.77438735961914,4.830961227416992,69004  Lyon  ,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuisine en Ville,189.0,4.5,1.0,0.0,45.770782470703125,4.86366081237793,69100 Villeurbanne  Lyon  ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LE 126,231.0,4.5,0.0,0.0,45.768924713134766,4.856989860534668,69006  Lyon  ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chez Lucien - Bistrotier,118.0,4.5,1.0,0.0,45.77438735961914,4.830961227416992,69004  Lyon  ,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
